Date,Open,High,Low,Close,Adj Close,Volume
2025-12-30,54.20000076293945,54.81999969482422,54.040000915527344,54.099998474121094,54.01070022583008,38976800
2025-12-29,54.290000915527344,54.9900016784668,53.91999816894531,54.4900016784668,54.40005874633789,50635300
2025-12-26,55.52000045776367,55.75,55.11000061035156,55.310001373291016,55.21870422363281,37244200
2025-12-24,54.869998931884766,55.45000076293945,54.779998779296875,55.36000061035156,55.26862335205078,25855000
2025-12-23,53.970001220703125,55.06999969482422,53.86000061035156,55.0099983215332,54.833335876464844,48197100
2025-12-22,54.810001373291016,54.88999938964844,53.880001068115234,54.25,54.075782775878906,64783100
2025-12-19,52.20000076293945,53.63999938964844,52.189998626708984,53.52000045776367,53.34812545776367,72957800
2025-12-18,51.66999816894531,52.459999084472656,50.97999954223633,51.5099983215332,51.34457778930664,109222100
2025-12-17,52.650001525878906,52.79999923706055,49.369998931884766,49.400001525878906,49.241355895996094,125606200
2025-12-16,51.43000030517578,52.77000045776367,51.099998474121094,52.33000183105469,52.161949157714844,105953700
2025-12-15,54.060001373291016,54.060001373291016,51.720001220703125,52.02000045776367,51.852943420410156,98696300
2025-12-12,55.11000061035156,55.52000045776367,52.22999954223633,52.81999969482422,52.65037155151367,138448500
2025-12-11,55.630001068115234,56.15999984741211,53.97999954223633,56.11000061035156,55.9298095703125,99683900
2025-12-10,55.650001525878906,57.09000015258789,54.88999938964844,56.650001525878906,56.468074798583984,100261100
2025-12-09,55.45000076293945,56.220001220703125,55.09000015258789,56.0099983215332,55.83012771606445,48736000
2025-12-08,56.56999969482422,57.040000915527344,55.119998931884766,55.79999923706055,55.62080383300781,69700000
2025-12-05,55.86000061035156,57.08000183105469,55.68000030517578,56.150001525878906,55.96968078613281,73206000
2025-12-04,56.040000915527344,56.04999923706055,54.61000061035156,55.5099983215332,55.331729888916016,63958000
2025-12-03,54.65999984741211,55.880001068115234,54.22999954223633,55.689998626708984,55.51115417480469,69844900
2025-12-02,54.630001068115234,55.7599983215332,54.13999938964844,55.29999923706055,55.12240982055664,79504400
2025-12-01,53.11000061035156,54.650001525878906,52.81999969482422,54.04999923706055,53.87642288208008,66359600
2025-11-28,53.81999969482422,54.61000061035156,53.630001068115234,54.540000915527344,54.36484909057617,34381600
2025-11-26,52.90999984741211,53.86000061035156,52.369998931884766,53.369998931884766,53.198604583740234,75598100
