date,ndx_close,tqqq_close,ndx_return,tqqq_return,theoretical_tqqq_return,return_gap,theoretical_growth_factor,actual_growth_factor,theoretical_tqqq_value,actual_tqqq_value_from_start,value_gap,drag_ratio,ndx_return_pct,tqqq_return_pct,theoretical_tqqq_return_pct,return_gap_pct,drag_ratio_pct
2010-02-11,1775.739990234375,0.21627600491046906,,,,,,,0.21627600491046906,0.21627600491046906,0.0,0.0,,,,,0.0
2010-02-12,1779.1099853515625,0.21716099977493286,0.0018977976143583764,0.004091969725583677,0.005693392843075129,0.0016014231174914517,1.0056933928430751,1.0040919697255837,0.2175073491689552,0.2171609997749329,0.00034634939402233833,0.0015923572023918142,0.18977976143583764,0.40919697255836773,0.5693392843075129,0.16014231174914517,0.15923572023918142
2010-02-16,1802.06005859375,0.22557300329208374,0.012899749555198126,0.03873625340585618,0.03869924866559438,-3.700474026180345e-05,1.0446129715340546,1.0429867307076592,0.22592472016103887,0.22557300329208377,0.000351716868955132,0.0015567878924644951,1.2899749555198126,3.873625340585618,3.8699248665594377,-0.003700474026180345,0.1556787892464495
2010-02-17,1810.8599853515625,0.22940100729465485,0.0048832594207095514,0.016970133600670234,0.014649778262128654,-0.00232035533854158,1.0599163199367718,1.0606863548714944,0.22923446721533156,0.22940100729465485,-0.00016654007932329074,-0.0007265054044724994,0.48832594207095514,1.6970133600670234,1.4649778262128654,-0.23203553385415798,-0.07265054044724994
2010-02-18,1823.3900146484375,0.23375000059604645,0.006919380514359474,0.018958039254838743,0.020758141543078423,0.00180010228823968,1.0819182129298381,1.08079488842422,0.23399294873233958,0.23375000059604645,0.00024294813629313627,0.0010382711855605464,0.6919380514359474,1.8958039254838743,2.0758141543078423,0.180010228823968,0.10382711855605464
2010-02-19,1823.3199462890625,0.23375000059604645,-3.84275217106822e-05,0.0,-0.0001152825651320466,-0.0001152825651320466,1.0817934866229886,1.08079488842422,0.23396597342498693,0.23375000059604645,0.00021597282894048053,0.0009230950371923452,-0.00384275217106822,0.0,-0.01152825651320466,-0.01152825651320466,0.09230950371923452
2010-02-22,1817.6300048828125,0.23210899531841278,-0.0031206489117998615,-0.00702034341582547,-0.009361946735399584,-0.002341603319574115,1.071665793622522,1.0732073371454132,0.2317755964438863,0.2321089953184128,-0.00033339887452649153,-0.0014384554700399566,-0.31206489117998615,-0.702034341582547,-0.9361946735399584,-0.23416033195741148,-0.14384554700399566
2010-02-23,1793.8199462890625,0.22304700314998627,-0.013099507892028406,-0.03904196886464939,-0.03929852367608522,-0.00025655481143582737,1.0295509100589966,1.0313072097032687,0.22266715767949743,0.2230470031499863,-0.0003798454704888321,-0.0017058890697998486,-1.3099507892028406,-3.904196886464939,-3.9298523676085217,-0.025655481143582737,-0.17058890697998486
2010-02-24,1812.510009765625,0.22979199886322021,0.010419141294101042,0.030240243616715734,0.031257423882303126,0.0010171802655873918,1.0617320192631217,1.062494190968371,0.22962715941175313,0.22979199886322024,-0.0001648394514670859,-0.0007178569464054707,1.0419141294101042,3.0240243616715734,3.1257423882303126,0.10171802655873918,-0.07178569464054707
2010-02-25,1812.9100341796875,0.2296610027551651,0.00022070190614509322,-0.0005700638346990416,0.0006621057184352797,0.0012321695531343213,1.0624349981045216,1.0618885014555222,0.22977919686710768,0.22966100275516513,0.00011819411194258223,0.0005143812562411476,0.022070190614509322,-0.057006383469904165,0.06621057184352797,0.12321695531343213,0.05143812562411476
