year,start_date,end_date,daily_drag,daily_drag_pct,annual_drag,annual_drag_pct
2010,2010-02-11,2010-12-31,-4.0917340545960424e-05,-0.004091734054596043,-0.010364299981972636,-1.0364299981972636
2011,2011-01-03,2011-12-30,-4.808907921047766e-05,-0.004808907921047766,-0.012191878939461942,-1.2191878939461942
2012,2012-01-03,2012-12-31,-0.00010545648821883263,-0.010545648821883264,-0.02692986130251418,-2.692986130251418
2013,2013-01-02,2013-12-31,-9.47457020553289e-05,-0.00947457020553289,-0.02416207034926532,-2.416207034926532
2014,2014-01-02,2014-12-31,-6.306537285904337e-05,-0.006306537285904337,-0.016018921848143464,-1.6018921848143464
2015,2015-01-02,2015-12-31,-6.322722854835549e-05,-0.006322722854835549,-0.016060361084126562,-1.6060361084126562
2016,2016-01-04,2016-12-30,-5.6476584830439325e-05,-0.005647658483043933,-0.01433345024085586,-1.433345024085586
2017,2017-01-03,2017-12-29,1.888888842658174e-05,0.001888888842658174,0.004748733780352787,0.47487337803527874
2018,2018-01-02,2018-12-31,0.00012793712916110255,0.012793712916110256,0.03172798028623092,3.1727980286230917
2019,2019-01-02,2019-12-31,0.00013971327757126488,0.013971327757126489,0.03459753814586708,3.459753814586708
2020,2020-01-02,2020-12-31,2.778177960367902e-05,0.002778177960367902,0.006976655065375037,0.6976655065375037
2021,2021-01-04,2021-12-31,5.664180169458603e-06,0.0005664180169458604,0.001426359226499918,0.1426359226499918
2022,2022-01-03,2022-12-30,0.000181059707075509,0.0181059707075509,0.0446057316807944,4.46057316807944
2023,2023-01-03,2023-12-29,0.0004704342607164027,0.04704342607164027,0.11181686780803946,11.181686780803945
2024,2024-01-02,2024-12-31,0.0004797883986852044,0.04797883986852044,0.1139090582269695,11.39090582269695
2025,2025-01-02,2025-12-31,0.0004104221600276949,0.04104221600276949,0.09827674115987739,9.827674115987739
