date,ndx_close,ndx_return,factor,rebuilt_tqqq,actual_tqqq_close,daily_drag,diff_rebuilt_minus_actual
2010-02-11,1775.739990234375,,,0.21627600491046906,0.21627600491046906,9.266730443378355e-05,0.0
2010-02-12,1779.1099853515625,0.0018977976143583764,1.0056007255386414,0.21748730745456646,0.21716099977493286,9.266730443378355e-05,0.0003263076796335973
2010-02-16,1802.06005859375,0.012899749555198126,1.0386065813611607,0.22588374888483095,0.22557300329208374,9.266730443378355e-05,0.0003107455927472136
2010-02-17,1810.8599853515625,0.0048832594207095514,1.014557110957695,0.22917196368088755,0.22940100729465485,9.266730443378355e-05,-0.0002290436137672991
2010-02-18,1823.3900146484375,0.006919380514359474,1.0206654742386447,0.23390791099255456,0.23375000059604645,9.266730443378355e-05,0.00015791039650811522
2010-02-19,1823.3199462890625,-3.84275217106822e-05,0.9997920501304342,0.23385926987297323,0.23375000059604645,9.266730443378355e-05,0.00010926927692678223
2010-02-22,1817.6300048828125,-0.0031206489117998615,0.9905453859601666,0.23164822073668703,0.23210899531841278,9.266730443378355e-05,-0.00046077458172574803
2010-02-23,1793.8199462890625,-0.013099507892028406,0.960608809019481,0.22252332143335077,0.22304700314998627,9.266730443378355e-05,-0.000523681716635499
2010-02-24,1812.510009765625,0.010419141294101042,1.0311647565778694,0.22945820657872015,0.22979199886322021,9.266730443378355e-05,-0.0003337922845000618
2010-02-25,1812.9100341796875,0.00022070190614509322,1.0005694384140016,0.22958886889595398,0.2296610027551651,9.266730443378355e-05,-7.213385921112092e-05
2010-02-26,1818.6800537109375,0.0031827390341854223,1.0094555497981226,0.2317597578788943,0.2325260043144226,9.266730443378355e-05,-0.0007662464355283061
2010-03-01,1846.4000244140625,0.015241807181292533,1.045632754239444,0.2423355939527749,0.24250000715255737,9.266730443378355e-05,-0.0001644131997824705
2010-03-02,1851.2099609375,0.0026050349110908755,1.007722437428839,0.24420701541385573,0.2439579963684082,9.266730443378355e-05,0.00024901904544752385
2010-03-03,1851.5699462890625,0.0001944594936060806,1.0004907111763846,0.24432685052567082,0.24531300365924835,9.266730443378355e-05,-0.0009861531335775275
2010-03-04,1859.719970703125,0.00440168324745005,1.0131123824379165,0.24753055762961507,0.24802100658416748,9.266730443378355e-05,-0.0004904489545524138
2010-03-05,1888.56005859375,0.015507758342628852,1.0464306077234529,0.25902355185048326,0.2589839994907379,9.266730443378355e-05,3.955235974534288e-05
2010-03-08,1890.8900146484375,0.0012337209209127842,1.0036084954583047,0.2599582371609297,0.26036500930786133,9.266730443378355e-05,-0.0004067721469316332
2010-03-09,1901.3800048828125,0.005547646956253649,1.0165502735643273,0.2642606171012433,0.2649739980697632,9.266730443378355e-05,-0.0007133809685198611
2010-03-10,1917.3499755859375,0.008399147283611574,1.025104774546401,0.27089482031506285,0.2714579999446869,9.266730443378355e-05,-0.0005631796296240443
2010-03-11,1923.81005859375,0.0033692769134849865,1.0100151634360213,0.2736078762144898,0.2739579975605011,9.266730443378355e-05,-0.00035012134601131173
2010-03-12,1924.4300537109375,0.00032227460004063957,1.0008741564956882,0.27384705231675416,0.27458301186561584,9.266730443378355e-05,-0.0007359595488616866
2010-03-15,1920.0899658203125,-0.0022552588400165385,0.9931415561755166,0.27196888769193933,0.27273398637771606,9.266730443378355e-05,-0.0007650986857767328
2010-03-16,1932.239990234375,0.006327841210748586,1.018890856327812,0.27710661287496263,0.27789101004600525,9.266730443378355e-05,-0.0007843971710426167
2010-03-17,1936.219970703125,0.0020597754362112752,1.0060866590042001,0.2787932663353414,0.27981799840927124,9.266730443378355e-05,-0.001024732073929835
2010-03-18,1943.93994140625,0.0039871351498981245,1.0118687381452607,0.28210219061013747,0.2826560139656067,9.266730443378355e-05,-0.0005538233554692185
2010-03-19,1932.4300537109375,-0.00592090704560877,0.9821446115587399,0.2770651464166631,0.2776559889316559,9.266730443378355e-05,-0.0005908425149928065
